building_size,land_size,price,bedroom_count,bathroom_count,parking_count,property_type,product_depth
153.0,153.0,450000.0,2.0,2.0,2.0,Unit,premiere
107.0,153.0,470000.0,3.0,2.0,2.0,Unit,premiere
210.0,450.0,612300.0,4.0,2.0,2.0,House,premiere
210.0,450.0,592000.0,4.0,2.0,2.0,House,premiere
210.0,450.0,614000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,425000.0,3.0,1.0,1.0,House,premiere
135.0,178.0,325000.0,2.0,1.0,1.0,Apartment,standard
317.0,676.0,779000.0,5.0,3.0,3.0,House,premiere
107.0,153.0,450000.0,2.0,2.0,1.0,Unit,premiere
135.0,178.0,425000.0,2.0,2.0,2.0,Apartment,standard
107.0,105.0,369000.0,2.0,1.0,1.0,Unit,premiere
210.0,963.0,850000.0,3.0,1.0,2.0,House,premiere
210.0,817.0,539000.0,3.0,1.0,2.0,House,premiere
135.0,178.0,395000.0,1.0,1.0,2.0,Apartment,premiere
107.0,153.0,340000.0,2.0,2.0,2.0,Unit,premiere
210.0,804.0,555000.0,5.0,3.0,4.0,House,premiere
107.0,345.0,475000.0,2.0,1.0,2.0,Unit,premiere
210.0,419.0,419000.0,3.0,2.0,2.0,House,premiere
107.0,153.0,439000.0,2.0,2.0,1.0,Unit,premiere
210.0,800.0,470000.0,3.0,1.0,3.0,House,standard
107.0,124.0,365000.0,2.0,2.0,2.0,Unit,premiere
65.0,65.0,299000.0,2.0,1.0,1.0,Unit,premiere
210.0,853.0,499000.0,3.0,2.0,2.0,House,premiere
107.0,208.0,377500.0,2.0,2.0,2.0,Unit,premiere
107.0,153.0,270000.0,2.0,1.0,0.0,Unit,premiere
107.0,74.0,280000.0,2.0,1.0,1.0,Unit,premiere
107.0,320.0,377500.0,2.0,1.0,3.0,Unit,premiere
107.0,174.0,285000.0,2.0,1.0,1.0,Unit,premiere
243.0,766.0,599000.0,4.0,2.0,2.0,House,premiere
135.0,178.0,455000.0,2.0,2.0,1.0,Apartment,premiere
210.0,804.0,555000.0,3.0,1.0,2.0,House,premiere
107.0,153.0,377500.0,1.0,1.0,0.0,Unit,premiere
107.0,261.0,575000.0,3.0,2.0,3.0,Unit,premiere
210.0,838.0,555000.0,4.0,2.0,3.0,House,premiere
135.0,178.0,280000.0,1.0,1.0,1.0,Apartment,premiere
210.0,804.0,555000.0,4.0,3.0,2.0,House,premiere
210.0,450.0,579000.0,4.0,2.0,2.0,House,standard
210.0,807.0,555000.0,4.0,3.0,2.0,House,premiere
210.0,801.0,530000.0,3.0,1.0,2.0,House,premiere
210.0,592.0,555000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,5.0,3.0,3.0,House,premiere
99.5,287.0,645000.0,3.0,3.0,3.0,Townhouse,premiere
356.0,850.0,750000.0,4.0,2.0,3.0,House,premiere
225.0,796.0,555000.0,6.0,2.0,2.0,House,premiere
210.0,800.0,555000.0,4.0,3.0,6.0,House,premiere
107.0,124.0,377500.0,1.0,1.0,1.0,Unit,premiere
107.0,153.0,377500.0,3.0,2.0,2.0,Unit,premiere
210.0,804.0,550000.0,3.0,1.0,2.0,House,premiere
210.0,804.0,639000.0,3.0,2.0,1.0,House,premiere
99.5,442.0,645000.0,3.0,2.0,2.0,Townhouse,premiere
210.0,815.0,650000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,5.0,4.0,4.0,House,premiere
210.0,800.0,555000.0,3.0,3.0,6.0,House,premiere
135.0,178.0,450000.0,1.0,1.0,1.0,Apartment,premiere
99.5,45.0,329000.0,2.0,1.0,1.0,Townhouse,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
184.0,178.0,385000.0,2.0,2.0,2.0,Apartment,premiere
167.0,178.0,550000.0,3.0,2.0,2.0,Apartment,premiere
174.0,680.0,549000.0,5.0,2.0,4.0,House,premiere
83.0,153.0,300000.0,2.0,1.0,1.0,Unit,premiere
135.0,178.0,387000.0,2.0,2.0,1.0,Apartment,standard
210.0,818.0,420000.0,3.0,1.0,4.0,House,premiere
210.0,817.0,555000.0,3.0,1.0,2.0,House,premiere
99.5,294.5,590000.0,3.0,3.0,3.0,Townhouse,premiere
210.0,494.0,489000.0,3.0,2.0,2.0,House,premiere
210.0,485.0,569000.0,4.0,2.0,2.0,House,premiere
210.0,813.0,435000.0,3.0,1.0,2.0,House,premiere
354.0,352.0,495000.0,3.0,1.0,1.0,Duplex/Semi-detached,standard
173.0,153.0,439000.0,2.0,2.0,2.0,Unit,premiere
210.0,804.0,555000.0,3.0,1.0,3.0,House,premiere
135.0,178.0,450000.0,2.0,2.0,2.0,Apartment,premiere
135.0,178.0,380000.0,3.0,2.0,2.0,Apartment,standard
135.0,178.0,240000.0,1.0,1.0,1.0,Apartment,standard
135.0,178.0,315000.0,2.0,2.0,2.0,Apartment,standard
210.0,804.0,460000.0,3.0,2.0,0.0,House,premiere
210.0,811.0,685000.0,3.0,1.0,5.0,House,standard
236.0,804.0,775000.0,3.0,2.0,2.0,House,premiere
210.0,702.0,635000.0,4.0,2.0,4.0,House,standard
181.0,178.0,625000.0,3.0,2.0,2.0,Apartment,premiere
210.0,804.0,580000.0,4.0,2.0,0.0,House,premiere
187.0,646.0,555000.0,5.0,3.0,2.0,House,premiere
210.0,804.0,399000.0,3.0,1.0,1.0,House,standard
210.0,860.0,750000.0,5.0,2.0,2.0,House,premiere
210.0,820.0,480000.0,3.0,1.0,2.0,House,premiere
210.0,804.0,555000.0,3.0,1.0,0.0,House,premiere
354.0,394.0,529000.0,3.0,2.0,2.0,Duplex/Semi-detached,premiere
210.0,804.0,650000.0,4.0,2.0,4.0,House,premiere
107.0,153.0,599000.0,2.0,2.0,2.0,Unit,premiere
99.5,294.5,659000.0,3.0,2.0,2.0,Townhouse,premiere
99.5,294.5,645000.0,2.0,1.0,2.0,Townhouse,premiere
69.0,178.0,490000.0,1.0,1.0,1.0,Apartment,premiere
210.0,881.0,405000.0,3.0,1.0,2.0,House,premiere
189.0,641.0,545000.0,3.0,2.0,2.0,House,premiere
107.0,300.0,420000.0,3.0,2.0,2.0,Unit,standard
210.0,630.0,555000.0,6.0,3.0,2.0,House,premiere
210.0,713.0,555000.0,5.0,2.0,4.0,House,premiere
210.0,804.0,555000.0,5.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,5.0,3.0,4.0,House,premiere
243.0,840.0,510000.0,3.0,2.0,2.0,House,premiere
160.0,831.0,555000.0,3.0,1.0,4.0,House,premiere
99.5,302.0,750000.0,3.0,2.0,2.0,Townhouse,premiere
107.0,286.0,377500.0,2.0,1.0,1.0,Unit,premiere
62.0,153.0,337500.0,1.0,1.0,0.0,Unit,premiere
107.0,153.0,377500.0,1.0,1.0,0.0,Unit,premiere
138.0,804.0,439000.0,2.0,2.0,1.0,House,premiere
210.0,804.0,555000.0,4.0,2.0,3.0,House,premiere
81.0,178.0,299000.0,2.0,1.0,0.0,Apartment,premiere
354.0,375.0,490000.0,3.0,2.0,2.0,Duplex/Semi-detached,premiere
210.0,817.0,649000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,4.0,2.0,4.0,House,premiere
210.0,804.0,555000.0,3.0,2.0,2.0,House,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
107.0,244.0,320000.0,2.0,1.0,2.0,Unit,premiere
210.0,804.0,490000.0,3.0,2.0,2.0,House,premiere
210.0,804.0,555000.0,3.0,2.0,2.0,House,premiere
354.0,352.0,489000.0,3.0,2.0,2.0,Duplex/Semi-detached,premiere
210.0,804.0,665000.0,4.0,2.0,2.0,House,premiere
107.0,122.0,298000.0,2.0,1.0,2.0,Unit,premiere
107.0,252.0,377500.0,2.0,1.0,1.0,Unit,premiere
210.0,766.0,660000.0,4.0,2.0,2.0,House,premiere
210.0,699.0,690000.0,4.0,2.0,2.0,House,premiere
210.0,480.0,590000.0,4.0,2.0,2.0,House,premiere
107.0,153.0,420000.0,2.0,2.0,2.0,Unit,standard
114.0,178.0,640000.0,2.0,2.0,2.0,Apartment,premiere
210.0,304.0,320000.0,2.0,1.0,1.0,House,premiere
210.0,817.0,695000.0,4.0,2.0,2.0,House,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
210.0,817.0,555000.0,4.0,2.0,2.0,House,premiere
135.0,178.0,275000.0,1.0,1.0,1.0,Apartment,standard
107.0,153.0,285000.0,2.0,1.0,1.0,Unit,premiere
210.0,842.0,660000.0,3.0,1.0,4.0,House,premiere
135.0,178.0,435000.0,2.0,2.0,2.0,Apartment,premiere
135.0,93.0,500000.0,1.0,1.0,1.0,Apartment,premiere
210.0,810.0,498000.0,3.0,2.0,5.0,House,standard
210.0,804.0,740000.0,6.0,4.0,10.0,House,premiere
99.5,278.0,450000.0,3.0,2.0,2.0,Townhouse,premiere
210.0,820.0,700000.0,4.0,2.0,2.0,House,premiere
107.0,53.0,377500.0,1.0,1.0,1.0,Unit,premiere
107.0,153.0,377500.0,1.0,1.0,1.0,Unit,premiere
340.0,340.0,795000.0,3.0,3.0,4.0,Unit,premiere
107.0,153.0,425000.0,2.0,1.0,2.0,Unit,premiere
196.0,982.0,555000.0,4.0,2.0,4.0,House,premiere
210.0,804.0,485000.0,3.0,2.0,4.0,House,premiere
303.0,832.0,555000.0,4.0,2.0,3.0,House,premiere
210.0,824.0,649000.0,3.0,3.0,2.0,House,premiere
246.0,624.0,665000.0,4.0,2.0,4.0,House,premiere
210.0,859.0,555000.0,5.0,3.0,2.0,House,premiere
210.0,804.0,215000.0,2.0,1.0,1.0,House,feature
210.0,766.0,555000.0,3.0,1.0,2.0,House,premiere
210.0,649.0,555000.0,4.0,2.0,2.0,House,premiere
99.5,255.0,645000.0,3.0,2.0,2.0,Townhouse,premiere
120.0,120.0,339000.0,2.0,2.0,2.0,Unit,premiere
99.5,283.0,735000.0,3.0,2.0,3.0,Townhouse,premiere
107.0,153.0,295000.0,2.0,1.0,1.0,Unit,premiere
210.0,969.0,555000.0,5.0,3.0,2.0,House,premiere
210.0,762.0,555000.0,5.0,3.0,4.0,House,premiere
210.0,508.0,725000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,485000.0,3.0,1.0,2.0,House,premiere
123.0,807.0,485000.0,3.0,1.0,4.0,House,premiere
210.0,953.0,555000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,610000.0,4.0,2.0,4.0,House,standard
210.0,804.0,555000.0,4.0,2.0,2.0,House,premiere
210.0,652.0,500000.0,4.0,2.0,2.0,House,premiere
210.0,785.0,480000.0,3.0,2.0,2.0,House,premiere
210.0,882.0,449000.0,4.0,1.0,6.0,House,premiere
210.0,804.0,795000.0,4.0,2.0,2.0,House,premiere
210.0,948.0,555000.0,4.0,2.0,4.0,House,premiere
135.0,178.0,620000.0,3.0,2.0,2.0,Apartment,premiere
126.0,800.0,555000.0,3.0,1.0,4.0,House,premiere
107.0,185.0,377500.0,3.0,2.0,2.0,Unit,premiere
210.0,804.0,555000.0,5.0,2.0,4.0,House,premiere
99.5,294.5,645000.0,2.0,1.0,1.0,Townhouse,premiere
210.0,804.0,555000.0,3.0,1.0,2.0,House,premiere
147.0,421.0,555000.0,3.0,2.0,2.0,House,premiere
210.0,1530.0,555000.0,4.0,2.0,2.0,House,premiere
107.0,153.0,292000.0,2.0,1.0,1.0,Unit,premiere
210.0,804.0,555000.0,3.0,2.0,4.0,House,premiere
210.0,811.0,475000.0,3.0,1.0,2.0,House,premiere
107.0,153.0,399000.0,1.0,1.0,1.0,Unit,premiere
210.0,857.0,520000.0,3.0,2.0,2.0,House,premiere
107.0,153.0,377500.0,2.0,1.0,2.0,Unit,premiere
210.0,1110.0,820000.0,4.0,2.0,4.0,House,premiere
354.0,352.0,460000.0,3.0,2.0,4.0,Duplex/Semi-detached,premiere
210.0,804.0,449000.0,3.0,2.0,1.0,House,premiere
107.0,1038.0,220000.0,1.0,1.0,1.0,Unit,standard
283.0,632.0,575000.0,3.0,2.0,4.0,House,premiere
107.0,116.0,329000.0,2.0,1.0,1.0,Unit,premiere
210.0,798.0,529000.0,4.0,2.0,3.0,House,premiere
69.0,178.0,349000.0,2.0,1.0,1.0,Apartment,premiere
210.0,804.0,485000.0,2.0,2.0,2.0,House,premiere
139.0,780.0,389000.0,3.0,1.0,1.0,House,standard
51.0,153.0,250000.0,1.0,1.0,1.0,Unit,premiere
233.0,680.0,695000.0,4.0,2.0,4.0,House,premiere
210.0,557.0,760000.0,4.0,2.0,2.0,House,premiere
210.0,804.0,535000.0,2.0,2.0,1.0,House,premiere
